,county_en,province_en,Livestock_int_hist,Livestock_vac_hist,Pop_setting,count,county_count,Population,inf_rate,ses,inf_rate_100k
168,Amol,Mazandaran,-1,-1,1,1,193,401639,2.49E-06,5,2.49E-01
169,Amol,Mazandaran,-1,0,-1,18,193,401639,4.48E-05,5,4.48E+00
170,Amol,Mazandaran,-1,0,1,42,193,401639,0.000104572,5,1.05E+01
171,Amol,Mazandaran,-1,1,-1,8,193,401639,1.99E-05,5,1.99E+00
172,Amol,Mazandaran,-1,1,1,12,193,401639,2.99E-05,5,2.99E+00
173,Amol,Mazandaran,0,1,1,1,193,401639,2.49E-06,5,2.49E-01
174,Amol,Mazandaran,1,-1,-1,4,193,401639,9.96E-06,5,9.96E-01
175,Amol,Mazandaran,1,-1,1,1,193,401639,2.49E-06,5,2.49E-01
176,Amol,Mazandaran,1,0,-1,16,193,401639,3.98E-05,5,3.98E+00
177,Amol,Mazandaran,1,0,1,7,193,401639,1.74E-05,5,1.74E+00
178,Amol,Mazandaran,1,1,-1,70,193,401639,0.000174286,5,1.74E+01
179,Amol,Mazandaran,1,1,1,13,193,401639,3.24E-05,5,3.24E+00
180,Anar,Kerman,-1,-1,-1,2,72,36897,5.42E-05,1,5.42E+00
181,Anar,Kerman,-1,0,-1,9,72,36897,0.000243922,1,2.44E+01
182,Anar,Kerman,-1,0,1,30,72,36897,0.000813074,1,8.13E+01
183,Anar,Kerman,-1,1,-1,2,72,36897,5.42E-05,1,5.42E+00
184,Anar,Kerman,-1,1,1,2,72,36897,5.42E-05,1,5.42E+00
185,Anar,Kerman,0,0,1,1,72,36897,2.71E-05,1,2.71E+00
186,Anar,Kerman,0,0,1,1,72,36897,2.71E-05,1,2.71E+00
187,Anar,Kerman,1,-1,-1,2,72,36897,5.42E-05,1,5.42E+00
188,Anar,Kerman,1,0,-1,3,72,36897,8.13E-05,1,8.13E+00
189,Anar,Kerman,1,0,1,2,72,36897,5.42E-05,1,5.42E+00
190,Anar,Kerman,1,1,-1,11,72,36897,0.000298127,1,2.98E+01
191,Anar,Kerman,1,1,1,7,72,36897,0.000189717,1,1.90E+01
192,Anbarabad,Kerman,-1,0,1,1,49,82438,1.21E-05,1,1.21E+00
193,Anbarabad,Kerman,1,-1,-1,18,49,82438,0.000218346,1,2.18E+01
194,Anbarabad,Kerman,1,-1,1,5,49,82438,6.07E-05,1,6.07E+00
195,Anbarabad,Kerman,1,0,0,1,49,82438,1.21E-05,1,1.21E+00
196,Anbarabad,Kerman,1,0,-1,11,49,82438,0.000133434,1,1.33E+01
197,Anbarabad,Kerman,1,0,1,6,49,82438,7.28E-05,1,7.28E+00
198,Anbarabad,Kerman,1,1,-1,4,49,82438,4.85E-05,1,4.85E+00
199,Anbarabad,Kerman,1,1,1,3,49,82438,3.64E-05,1,3.64E+00
200,Andika,Khuzestan,-1,0,-1,2,129,47629,4.20E-05,1,4.20E+00
201,Andika,Khuzestan,1,-1,-1,7,129,47629,0.000146969,1,1.47E+01
202,Andika,Khuzestan,1,0,0,1,129,47629,2.10E-05,1,2.10E+00
203,Andika,Khuzestan,1,0,-1,53,129,47629,0.001112767,1,1.11E+02
204,Andika,Khuzestan,1,0,1,3,129,47629,6.30E-05,1,6.30E+00
205,Andika,Khuzestan,1,1,0,49,129,47629,0.001028785,1,1.03E+02
206,Andika,Khuzestan,1,1,-1,13,129,47629,0.000272943,1,2.73E+01
207,Andika,Khuzestan,1,1,1,1,129,47629,2.10E-05,1,2.10E+00
208,Andimeshk,Khuzestan,-1,0,0,1,334,171412,5.83E-06,1,5.83E-01
209,Andimeshk,Khuzestan,-1,0,-1,1,334,171412,5.83E-06,1,5.83E-01
210,Andimeshk,Khuzestan,-1,0,1,16,334,171412,9.33E-05,1,9.33E+00
211,Andimeshk,Khuzestan,0,0,0,2,334,171412,1.17E-05,1,1.17E+00
212,Andimeshk,Khuzestan,0,0,0,32,334,171412,0.000186685,1,1.87E+01
213,Andimeshk,Khuzestan,0,0,0,3,334,171412,1.75E-05,1,1.75E+00
214,Andimeshk,Khuzestan,0,0,-1,54,334,171412,0.00031503,1,3.15E+01
215,Andimeshk,Khuzestan,0,0,1,87,334,171412,0.000507549,1,5.08E+01
216,Andimeshk,Khuzestan,1,-1,0,10,334,171412,5.83E-05,1,5.83E+00
217,Andimeshk,Khuzestan,1,-1,-1,13,334,171412,7.58E-05,1,7.58E+00
218,Andimeshk,Khuzestan,1,-1,1,3,334,171412,1.75E-05,1,1.75E+00
219,Andimeshk,Khuzestan,1,0,0,1,334,171412,5.83E-06,1,5.83E-01
220,Andimeshk,Khuzestan,1,0,0,14,334,171412,8.17E-05,1,8.17E+00
221,Andimeshk,Khuzestan,1,0,-1,22,334,171412,0.000128346,1,1.28E+01
222,Andimeshk,Khuzestan,1,0,1,22,334,171412,0.000128346,1,1.28E+01
223,Andimeshk,Khuzestan,1,1,0,1,334,171412,5.83E-06,1,5.83E-01
224,Andimeshk,Khuzestan,1,1,0,24,334,171412,0.000140014,1,1.40E+01
225,Andimeshk,Khuzestan,1,1,-1,23,334,171412,0.00013418,1,1.34E+01
226,Andimeshk,Khuzestan,1,1,1,5,334,171412,2.92E-05,1,2.92E+00
227,Aqqala,Golestan,-1,0,-1,6,135,132733,4.52E-05,1,4.52E+00
228,Aqqala,Golestan,-1,0,1,5,135,132733,3.77E-05,1,3.77E+00
229,Aqqala,Golestan,0,0,-1,38,135,132733,0.000286289,1,2.86E+01
230,Aqqala,Golestan,0,0,1,5,135,132733,3.77E-05,1,3.77E+00
231,Aqqala,Golestan,0,0,1,1,135,132733,7.53E-06,1,7.53E-01
232,Aqqala,Golestan,1,-1,-1,6,135,132733,4.52E-05,1,4.52E+00
233,Aqqala,Golestan,1,0,-1,64,135,132733,0.000482171,1,4.82E+01
234,Aqqala,Golestan,1,0,1,6,135,132733,4.52E-05,1,4.52E+00
235,Aqqala,Golestan,1,1,-1,3,135,132733,2.26E-05,1,2.26E+00
