OBJECTID,OBJECTID_1,ID,Apr_2011,May_2011,Jun_2011,Jul_2011,Aug_2011,Sep_2011,Oct_2011,Nov_2011,Dec_2011,Jan_2012,Feb_2012,March_2012,Apr_2010,May_2010,Jun_2010,Jul_2010,Aug_2010,Sep_2010,Oct_2010,Nov_2010,Dec_2010,Jan_2011,Feb_2011,Mar_2011,Apr_2009,May_2009,Jun_2009,Jul_2009,Aug_2009,Sep_2009,Oct_2009,Nov_2009,Dec_2009,Jan_2010,Feb_2010,Mar_2010,sum_2011,sum_2010,sum_2009,total,X_Centroid,Y_Centroid,Pop_2011,Shape_Area
11,11,194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,3,6,494131.0042,3217061.064,258906,1321188244
12,12,199,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,4,524517.2367,3187042.979,70282,1908976902
13,13,201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,621743.3567,3090887.78,51446,1348572708
14,14,195,3,1,2,0,1,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,14,3,4,21,534074.7753,3234850.033,229897,6285698027
15,15,198,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,7,561308.2779,3145988.937,77530,4906089611
16,16,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,4,5,566864.0989,3099824.455,52523,2307131505
17,17,196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,649905.0139,3050549.455,170774,1205673595
18,18,197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,3,6,464150.869,3276955.885,90493,1760084530
19,19,222,0,0,1,4,2,8,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,15,6,6,27,448739.1317,3530478.293,53514,1866311150
20,20,219,1,2,3,4,0,1,2,8,1,5,1,4,1,2,0,1,0,1,0,0,0,0,1,0,1,4,2,2,1,0,0,0,1,1,0,1,32,6,13,51,514398.0389,3525498.368,118681,2513356213
21,21,217,2,12,9,4,9,5,6,1,6,3,3,8,1,0,5,9,4,4,3,7,6,1,3,1,1,2,2,4,1,4,2,3,0,4,3,2,68,44,28,140,476988.6964,3588324.062,340382,2933057063
